Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aniketh,15/05/21 2:28,0:07:04,,Mystic River,,Apple TV 3 (revised),0:07:03,Not latest view,US (United States)
Aniketh,15/05/21 2:11,0:15:04,,Roohi,,Apple TV 3 (revised),2:13:24,2:13:24,US (United States)
Aniketh,15/05/21 0:30,0:06:43,,Roohi,,iPhone 12 Pro,1:58:29,Not latest view,US (United States)
Aniketh,14/05/21 18:10,1:35:24,,Roohi,,Apple TV 3 (revised),1:52:15,Not latest view,US (United States)
Aniketh,14/05/21 18:05,0:00:14,Autoplayed: user action: None; ,WHOKILLEDSARA_S1_CLIP_MAINCHARACTER,HOOK,iPhone 12 Pro,0:00:15,0:00:15,US (United States)
Aniketh,14/05/21 18:05,0:00:30,Autoplayed: user action: None; ,Trailer 2: Woman in the Window: Context Up Front,TRAILER,iPhone 12 Pro,0:00:31,Not latest view,US (United States)
Aniketh,14/05/21 17:44,0:08:39,,Roohi,,iPhone 12 Pro,0:08:39,Not latest view,US (United States)
Aniketh,14/05/21 4:59,0:00:07,Autoplayed: user action: None; ,Dead Man Down_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:08,Not latest view,US (United States)
Aniketh,14/05/21 4:59,0:00:07,Autoplayed: user action: None; ,Trailer: The Coldest Game,TRAILER,iPhone 12 Pro,0:00:07,0:00:07,US (United States)
Aniketh,14/05/21 4:58,0:00:05,Autoplayed: user action: None; ,Snowden_hook_03_16x9,HOOK,iPhone 12 Pro,0:00:05,0:00:05,US (United States)
Aniketh,14/05/21 4:58,0:00:11,Autoplayed: user action: None; ,Roohi_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:11,0:00:11,US (United States)
Aniketh,14/05/21 4:58,0:00:09,Autoplayed: user action: None; ,Trailer: Stowaway,TRAILER,iPhone 12 Pro,0:00:09,0:00:09,US (United States)
Aniketh,14/05/21 4:57,0:00:13,Autoplayed: user action: None; ,Mystic River_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:13,0:00:13,US (United States)
Aniketh,14/05/21 4:57,0:00:14,Autoplayed: user action: None; ,Trailer: The Innocent,TRAILER,iPhone 12 Pro,0:00:14,0:00:14,US (United States)
Aniketh,14/05/21 4:56,0:00:15,Autoplayed: user action: None; ,The Clovehitch Killer_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:15,0:00:15,US (United States)
Aniketh,14/05/21 4:56,0:00:15,Autoplayed: user action: None; ,The Pelican Brief_hook_04_16x9,HOOK,iPhone 12 Pro,0:00:15,0:00:15,US (United States)
Aniketh,14/05/21 2:47,1:42:20,,Miss Sloane,,Apple TV 3 (revised),2:08:02,2:08:02,US (United States)
Aniketh,13/05/21 21:05,1:00:36,,Miss Sloane,,Apple TV 3 (revised),1:00:21,Not latest view,US (United States)
Aniketh,13/05/21 20:29,0:00:06,Autoplayed: user action: None; ,Dead Man Down_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:06,Not latest view,US (United States)
Aniketh,13/05/21 2:46,0:29:51,,StartUp: Season 1: Seed Money (Episode 1),,FireTV 4K Stick 2018,0:29:51,0:29:51,US (United States)
Aniketh,13/05/21 2:45,0:00:12,Autoplayed: user action: None; ,StartUp: Season 1_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:00:12,0:00:12,US (United States)
Aniketh,13/05/21 2:45,0:00:04,Autoplayed: user action: None; ,Age of Samurai: Battle for Japan: Season 1 Clip: High Context,HOOK,FireTV 4K Stick 2018,0:00:04,0:00:04,US (United States)
Aniketh,13/05/21 0:43,1:51:33,,State of Play,,FireTV 4K Stick 2018,2:00:51,2:00:51,US (United States)
Aniketh,12/05/21 22:56,0:21:19,Autoplayed: user action: User_Interaction; ,State of Play,,FireTV 4K Stick 2018,0:19:26,Not latest view,US (United States)
Aniketh,12/05/21 3:17,0:02:31,,Trailer: Things Heard & Seen,TRAILER,FireTV 4K Stick 2018,0:02:31,0:02:31,US (United States)
Aniketh,12/05/21 3:16,0:01:05,,Sniper: Ghost Shooter_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:01:05,0:01:05,US (United States)
Aniketh,12/05/21 3:15,0:00:24,Autoplayed: user action: None; ,Dead Man Down_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:00:24,Not latest view,US (United States)
Aniketh,12/05/21 1:45,1:29:12,Autoplayed: user action: User_Interaction; ,The Whole Truth,,FireTV 4K Stick 2018,1:28:43,1:28:43,US (United States)
Aniketh,12/05/21 1:40,0:04:48,Autoplayed: user action: User_Interaction; ,Jupiter's Legacy: Volume 1: By Dawn's Early Light (Episode 1),,FireTV 4K Stick 2018,0:04:48,0:04:48,US (United States)
Aniketh,12/05/21 1:39,0:00:39,Autoplayed: user action: User_Interaction; ,The Whole Truth,,FireTV 4K Stick 2018,0:00:39,Not latest view,US (United States)
Aniketh,12/05/21 1:38,0:00:07,Autoplayed: user action: None; ,State of Play_hook_01_16x9,HOOK,FireTV 4K Stick 2018,0:00:07,0:00:07,US (United States)
Aniketh,12/05/21 1:38,0:00:08,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,0:00:08,0:00:08,US (United States)
Aniketh,12/05/21 1:38,0:00:05,Autoplayed: user action: None; ,Season 1 Trailer 2: The King: Eternal Monarch,TRAILER,FireTV 4K Stick 2018,0:00:05,0:00:05,US (United States)
Aniketh,10/05/21 15:30,0:39:31,,Shadow and Bone: Season 1: No Mourners (Episode 8),,iPhone 12 Pro,0:39:44,0:39:44,US (United States)
Aniketh,10/05/21 14:55,0:33:28,,Shadow and Bone: Season 1: The Unsea (Episode 7),,iPhone 12 Pro,0:47:12,0:47:12,US (United States)
